Product_Name,Product_Description,Product_Price,Product_Initial_Price,Product_Discount,Product_URL,Product_Image_URL,Product_Tagging,Rating_Score,Review_Count,Product_Code
Nike Court Shot,Men's Shoes,3276.0,4095.0,20,https://www.nike.com/ph/t/court-shot-shoes-ZfRXql/FQ8146-112,"https://static.nike.com/a/images/t_default/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/cad4e1d7-12ca-4c36-8671-7e5b47642175/COURT+SHOT.png",Recycled Materials,4.3,43,FQ8146-112
Nike Court Shot,Men's Shoes,3276.0,4095.0,20,https://www.nike.com/ph/t/court-shot-shoes-ZfRXql/FQ8146-002,"https://static.nike.com/a/images/t_default/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/1b1c2359-c574-4706-86c7-f41cbcda9554/COURT+SHOT.png",Recycled Materials,4.3,43,FQ8146-002
Nike Revolution 8,Women's Road Running Shoes,2307.0,3295.0,30,https://www.nike.com/ph/t/revolution-8-road-running-shoes-Qt2b11/HJ8485-300,"https://static.nike.com/a/images/t_default/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/be7db5bd-6cf5-4352-b4ad-8fa8c81ce8f5/W+NIKE+REVOLUTION+8.png",Recycled Materials,4.5,53,HJ8485-300
Los Angeles Lakers Courtside Windrunner,Men's Nike NBA Anorak Jacket,2457.0,4095.0,40,https://www.nike.com/ph/t/los-angeles-lakers-courtside-windrunner-nba-anorak-jacket-AQMag6oV/HM8527-504,https://static.nike.com/a/images/t_default/07f594ca-0d7a-4409-9967-924c51775405/LAL+MNK+WR+ANORAK+CTS.png,Recycled Materials,0.0,0,HM8527-504
Jordan Sport,Men's Dri-FIT Shorts,1036.0,1295.0,20,https://www.nike.com/ph/t/jordan-sport-dri-fit-shorts-TfNRgF/FV8618-010,"https://static.nike.com/a/images/t_default/u_126ab356-44d8-4a06-89b4-fcdcc8df0245,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/d8488936-1df4-4f7d-97a3-a34a699478fb/M+J+DF+SPRT+COMP+SHORT.png",Recycled Materials,3.0,2,FV8618-010
Nike Dri-FIT One,Women's Mid-rise 8cm (approx.) 2-in-1 Shorts,1796.0,1995.0,10,https://www.nike.com/ph/t/dri-fit-one-mid-rise-8cm-2-in-1-shorts-VhXdqf/DX6013-010,https://static.nike.com/a/images/t_default/b07b9cf4-3556-4516-9dff-dcf1a837a5c9/AS+W+NK+ONE+DF+MR+3IN+2N1+SRT.png,Recycled Materials,5.0,1,DX6013-010
Nike Air Max Nuaxis,Men's Shoes,2747.0,4995.0,45,https://www.nike.com/ph/t/air-max-nuaxis-shoes-M51F5J/FD4329-101,"https://static.nike.com/a/images/t_default/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/6561671e-0ff3-4c20-8463-1ce3b14249dd/NIKE+AIR+MAX+NUAXIS.png",Recycled Materials,4.4,58,FD4329-101
Nike Air Max Nuaxis,Men's Shoes,2997.0,4995.0,40,https://www.nike.com/ph/t/air-max-nuaxis-shoes-M51F5J/FD4329-011,"https://static.nike.com/a/images/t_default/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/9b27d4eb-a136-4a1e-9328-98107c7cb21c/NIKE+AIR+MAX+NUAXIS.png",Recycled Materials,4.4,58,FD4329-011
Nike Air Max Nuaxis,Men's Shoes,2747.0,4995.0,45,https://www.nike.com/ph/t/air-max-nuaxis-shoes-M51F5J/FD4329-103,"https://static.nike.com/a/images/t_default/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/3f212f48-ef36-4ede-9135-223805718e2f/NIKE+AIR+MAX+NUAXIS.png",Recycled Materials,4.4,58,FD4329-103
Nike Air Max Nuaxis,Men's Shoes,2997.0,4995.0,40,https://www.nike.com/ph/t/air-max-nuaxis-shoes-M51F5J/FD4329-001,"https://static.nike.com/a/images/t_default/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/e783e052-9360-4afb-adb8-c4e9c0f5db07/NIKE+AIR+MAX+NUAXIS.png",Recycled Materials,4.4,58,FD4329-001
Nike Air Max Nuaxis,Men's Shoes,3996.0,4995.0,20,https://www.nike.com/ph/t/air-max-nuaxis-shoes-M51F5J/FD4329-004,"https://static.nike.com/a/images/t_default/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/98bbe852-ef51-426f-910a-9cc9f4804e07/NIKE+AIR+MAX+NUAXIS.png",Recycled Materials,4.4,58,FD4329-004
Nike Dri-FIT Club,Kids' Unstructured Metal Swoosh Cap,636.0,795.0,20,https://www.nike.com/ph/t/dri-fit-club-unstructured-metal-swoosh-cap-xcdL1Q/FB5064-663,"https://static.nike.com/a/images/t_default/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/7fb4580b-1204-45db-b132-fd8d8f1e0589/K+NK+DF+CLUB+CAP+US+CB+MTSWSH.png",Recycled Materials,5.0,3,FB5064-663
Jordan Sport Crossover,Men's Dri-FIT Fleece Trousers,1917.0,3195.0,40,https://www.nike.com/ph/t/jordan-sport-crossover-dri-fit-fleece-trousers-zcQMCB/FV8608-010,"https://static.nike.com/a/images/t_default/u_126ab356-44d8-4a06-89b4-fcdcc8df0245,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/fa56f761-679f-4fa8-9e2c-f2457121fa42/M+J+DF+SPRT+CSVR+FLC+PANT.png",Recycled Materials,4.5,14,FV8608-010
